RamanShift (cm-1)	00:00:56	00:01:25	00:01:55	00:02:26
3400.0000	1211.62623457	423.00256056	1152.72386432	633.46069907
3399.0000	1517.17299874	308.95999632	745.17546216	1170.27807669
3398.0000	1495.31529927	982.08444671	618.51880922	1023.07627899
3397.0000	1228.44163459	1794.38889549	1444.90966667	1004.89966466
3396.0000	1416.79187628	2224.02731710	2564.87892600	1729.53385362
3395.0000	1800.89214077	2176.09497398	2528.07345582	2484.95566808
3394.0000	1914.45530606	1942.32289878	1863.00738584	2596.38659672
3393.0000	2030.58450442	1522.11759777	2161.11489715	2120.50533877
3392.0000	2198.98651824	896.64175233	2880.88076435	1344.22831585
3391.0000	2005.54701032	522.72377623	2442.22810704	662.77509653
3390.0000	1409.25129891	608.11519149	1082.58928455	318.61336883
3389.0000	995.75573590	1116.47798477	329.20131443	317.07760709
3388.0000	1146.00163916	1814.10685746	476.72016219	507.72466730
3387.0000	1450.11553582	2012.40259996	541.26963378	611.22498616
3386.0000	1571.94874081	1631.56231670	520.81896059	776.30419615
3385.0000	1526.40980365	1212.15054437	853.45766294	1190.40503674
3384.0000	1275.56914796	811.64280823	769.85309278	1285.22965887
3383.0000	1205.82138467	487.31253697	235.12987094	879.81866015
3382.0000	1484.23127722	591.80042000	511.38156821	694.31731019
3381.0000	1388.10388124	1039.04218854	1301.66808820	839.96148597
3380.0000	846.30175920	1443.10538457	1476.42981567	944.73399126
3379.0000	634.64408313	1661.64982584	1633.53035409	1299.25411703
3378.0000	889.39893897	1733.39120746	2204.42068211	1888.58788542
3377.0000	1198.92869630	1578.29333813	2070.41062878	1958.42195617
3376.0000	1168.45591793	1057.03761808	1046.50672709	1469.13100236
3375.0000	674.75084597	372.98190395	234.59988494	958.50853637
3374.0000	304.28390178	-20.12760102	103.58469760	501.97291362
3373.0000	568.89254995	10.80247552	401.29565666	84.89837865
3372.0000	910.54161240	225.12205353	752.38859114	-138.57807139
3371.0000	715.96224634	471.52018256	1020.09415314	38.71668908
3370.0000	515.20835677	823.60244542	1410.69090509	788.17769567
3369.0000	996.83006052	1193.71041899	1741.55726829	1588.41878977
3368.0000	1772.32674647	1283.72355075	1704.65685546	1627.45609241
3367.0000	2176.96812110	1194.22380343	1674.07712273	1123.84799581
3366.0000	2210.28697907	1395.94292558	1854.31394907	862.05888609
3365.0000	2081.52095147	1793.33286046	1847.32515972	980.56063933
3364.0000	1883.93661801	1668.74378461	1558.66174450	1178.66289227
3363.0000	1652.84437661	909.85297170	1219.49511354	1314.48312253
3362.0000	1323.76529462	432.63799028	1076.30023184	1388.66424245
3361.0000	996.43015795	721.75637791	1315.48538638	1278.51378836
3360.0000	920.17242658	1023.61953906	1502.81289358	810.88212347
3359.0000	1112.38647087	866.26878104	1150.61954388	278.31324184
3358.0000	1302.15805833	708.87936933	750.43809266	190.19062093
3357.0000	1081.42618588	661.78142781	670.13102746	420.03836133
3356.0000	388.48763712	466.27103136	392.61842826	622.96735186
3355.0000	-195.75653947	278.23212433	-27.00728446	910.21805654
3354.0000	-201.64312212	395.98514040	292.98978472	1222.70640071
3353.0000	181.53616468	920.74964900	1315.60104223	1144.08088615
3352.0000	599.27238148	1563.82923792	1773.89031794	702.03085401
3351.0000	860.82929470	1753.80552107	1169.16322875	372.12326741
3350.0000	850.40150967	1340.98682757	623.44697353	344.69751874
3349.0000	640.30125013	752.10903776	879.23230192	374.08170502
3348.0000	494.21839854	549.88396928	1199.59327266	264.25043850
3347.0000	574.27228085	808.63409267	1001.47611800	142.02433360
3346.0000	796.80398901	879.00761612	653.15846314	186.93268995
3345.0000	900.15657067	485.15085799	449.37462095	326.01742610
3344.0000	784.37519326	281.19543359	315.80592414	413.72814275
3343.0000	862.08000504	703.99567193	373.00708577	643.00259162
3342.0000	1372.16055127	1312.68477856	827.93544003	1244.36024819
3341.0000	1762.95750171	1396.03667303	1415.32158801	1819.84304813
3340.0000	1809.49388222	950.34939876	1658.36908440	1861.60740481
3339.0000	1912.89786802	665.11711720	1506.85021230	1549.42485397
